"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,,,,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,,,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,,,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,,,,,
,,,,,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,,,,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,,,,,
,,,,,,,
Date,"Total Arable Land
(hectares)", Per Capita, Annual % Change,,,Source,https://www.macrotrends.net/global-metrics/countries/vnm/vietnam/arable-land
31/12/61,5550000,0.1651,17.0512,,,,
31/12/62,5550000,0.1607,17.0512,,,,
31/12/63,5550000,0.1562,17.0512,,,,
31/12/64,5550000,0.152,17.0512,,,,
31/12/65,5550000,0.1481,17.0512,,,,
31/12/66,5550000,0.1446,17.0512,,,,
31/12/67,5570000,0.1418,17.1127,,,,
31/12/68,5590000,0.1392,17.1741,,,,
31/12/69,5600000,0.1365,17.2048,,,,
31/12/70,5630000,0.1343,17.297,,,,
31/12/71,5630000,0.1312,17.297,,,,
31/12/72,5650000,0.1287,17.3584,,,,
31/12/73,5680000,0.1265,17.4506,,,,
31/12/74,5700000,0.1242,17.5121,,,,
31/12/75,5700000,0.1214,17.5121,,,,
31/12/76,5900000,0.1225,18.1265,,,,
31/12/77,5980000,0.121,18.3723,,,,
31/12/78,5999000,0.1183,18.4307,,,,
31/12/79,5970000,0.1152,18.3416,,,,
31/12/80,5940000,0.1121,18.2494,,,,
31/12/81,5910000,0.1089,18.1572,,,,
31/12/82,5880000,0.1057,18.0651,,,,
31/12/83,5850000,0.1026,17.9729,,,,
31/12/84,5820000,0.0996,17.8807,,,,
31/12/85,5616000,0.0939,17.254,,,,
31/12/86,5570000,0.091,17.1127,,,,
31/12/87,5527000,0.0882,16.9806,,,,
31/12/88,5460000,0.0853,16.7747,,,,
31/12/89,5400000,0.0825,16.5904,,,,
31/12/90,5339000,0.0798,16.403,,,,
31/12/91,5368000,0.0785,16.4921,,,,
31/12/92,5506000,0.0789,16.916,,,,
31/12/93,5516000,0.0775,16.9468,,,,
31/12/94,5464000,0.0754,16.787,,,,
31/12/95,5403000,0.0733,16.5996,,,,
31/12/96,5554000,0.0741,17.0635,,,,
31/12/97,5668000,0.0745,17.4137,,,,
31/12/98,5763000,0.0747,17.7056,,,,
31/12/99,6000000,0.0768,18.4337,,,,
31/12/00,6200000,0.0785,19.9318,,,,
31/12/01,6649000,0.0833,21.3732,,,,
31/12/02,6600000,0.0818,21.2526,,,,
31/12/03,6581000,0.0808,21.2242,,,,
31/12/04,6469500,0.0786,20.8646,,,,
31/12/05,6358000,0.0765,20.3237,,,,
31/12/06,6348000,0.0756,20.2944,,,,
31/12/07,6309600,0.0744,20.187,,,,
31/12/08,6282500,0.0734,20.0852,,,,
31/12/09,6300000,0.0728,20.1431,,,,
31/12/10,6437400,0.0736,20.5475,,,,
31/12/11,6437600,0.0729,20.5488,,,,
31/12/12,6401300,0.0717,20.4216,,,,
31/12/13,6422800,0.0712,20.5196,,,,
31/12/14,6409500,0.0703,20.4534,,,,
31/12/15,7002800,0.076,22.3458,,,,
31/12/16,6998000,0.0751,22.3302,,,,
31/12/17,6988300,0.0743,22.2981,,,,
31/12/18,6952100,0.0732,22.1808,,,,
31/12/19,6784000,0.0708,21.6445,,,,
31/12/20,6787000,0.0702,21.654,,,,
31/12/21,6787000,0.0696,21.654,,,,
