Entity,Year,Maize Production (tonnes),Rice  Production (tonnes),Yams  Production (tonnes),Wheat Production (tonnes),Tomatoes Production (tonnes),Tea  Production ( tonnes ),Sweet potatoes  Production (tonnes),Sunflower seed  Production (tonnes),Sugar cane Production (tonnes),Soybeans  Production (tonnes),Rye  Production (tonnes),Potatoes  Production (tonnes),Oranges  Production (tonnes),"Peas, dry Production ( tonnes)",Palm oil  Production (tonnes),Grapes  Production (tonnes),"Coffee, green Production ( tonnes)",Cocoa beans Production (tonnes),"Meat, chicken  Production (tonnes)",Bananas  Production ( tonnes),Avocados Production (tonnes),Apples Production (tonnes),Total Precipitation (mm),Average Temperature (degree Celsius),Total Arable Land (hectares),Fertilizer Consumption (kilograms per hectare),GDP (million $),Population (people),Total Production (tonnes)
Vietnam,1961,292200,269907.4,521860.166,3615767.6,17719514,692.6,232000,10300,60424311.2,54937.4,32038.048,119941627.2,824,7240,640716.208,31000,615118.2,33178.4,18974444,3719.706,40567.924,2840571.04,1857.23,24.33,5550000,16.03603604,1628,33409059,"226,302,535.09"
Vietnam,1962,314085,250975.4,506168.072,3664575.4,18839956,861.4,240000,11500,61424087.2,57350.2,32062.504,122816595.2,834,9080,668212.208,31297.536,619294.8,34331.8,19687382,3878.11,53738.948,2958634.2,1657.31,24.07,5550000,17.11711712,1727,34288560,"232,224,899.98"
Vietnam,1963,253840,250975.4,506168.072,3664575.4,18795654,861.4,240000,11500,61424087.2,57350.2,32062.504,122816595.2,834,9080,668212.208,31297.536,619294.8,34331.8,20576484,3878.11,53738.948,2958634.2,1829.7,24.17,5550000,18.91891892,1721,35249101,"233,009,454.98"
Vietnam,1964,319600,135128604,6158.4,16597.6,905906,2580,25118.122,170286,52010109.4,9430.8,86845.492,280347.8,38763649.31,1354.6,518891,1366214.54,977.4,3195.6,20594536,133152,19463,312875.6,1798.64,24.18,5550000,16.57657658,1704,36201563,"250,675,892.66"
Vietnam,1965,319100,177062978,6158.4,33302.8,933784,2580,20896.58,170286,111777154.8,8616.4,86845.492,406171.6,53676968.91,1448,518891,640789.36,977.4,3195.6,20984140,173700,19463,118665.6,1688.08,24.3,5550000,14.05405405,1798,37129656,"366,966,112.94"
Vietnam,1966,256500,177062978,6158.4,33302.8,807245,2580,20896.58,170286,111777154.8,8616.4,86845.492,406171.6,53676968.91,1448,518891,640789.36,977.4,3195.6,21009014,173700,19463,118665.6,1856.94,24.67,5550000,8.288288288,2195,38024836,"366,801,847.94"
Vietnam,1967,253000,132908522,6158.4,7685091.6,998246,2580,25276.964,170286,142056846.8,7713.2,86845.492,374115.332,41670162.4,1240,518891,305828.2,977.4,3195.6,21496066,159046,19463,19696.4,1653.28,23.96,5570000,20.9059246,2125,38895080,"348,769,247.79"
Vietnam,1968,262000,132908522,6158.4,7685091.6,1065623,2580,25276.964,170286,142056846.8,7713.2,86845.492,374115.332,41670162.4,1240,518891,305828.2,977.4,3195.6,21621368,159046,19463,19696.4,1709.15,24.23,5590000,20.30304114,1961,39734609,"348,970,926.79"
Vietnam,1969,271000,79360,6158.4,26670558.8,1082708,2580,32710.51,170286,142056846.8,7713.2,86845.492,211952.48,97817,1240,518891,305828.2,977.4,3195.6,22653408,19386,19463,19696.4,1600.59,24.41,5600000,49.20678571,2074,40582096,"194,318,622.28"
Vietnam,1970,257300,2205330.4,74006,3765498.6,1090023,16566.2,345.748,1695023.6,716820,2968724.76,325020,963127.6,20400,1037039.36,259520,407365,28966.764,44.6,300809,24.436,353.242,12006.2,1879.93,24.18,5630000,55.28756661,2775,41475230,"16,144,314.51"
Vietnam,1971,237000,2205330.4,74006,3765498.6,1066741,16566.2,345.748,1695023.6,716820,2968724.76,325020,963127.6,20400,1037039.36,259520,407365,28966.764,44.6,323079,24.436,353.242,12006.2,1880.04,23.77,5630000,51.10124334,3024,42449276,"16,123,002.51"
Vietnam,1972,261700,1819982.4,78872,6962296.6,1043611,13066,312.572,1888793.6,579970,4272232.66,354218,797606.2,16578.912,1044058.48,305836.6,481181.4,52573.764,35.6,376144,67139.84,3353.242,11449.614,1856.56,24.31,5650000,45.68920354,3237,43429168,"20,431,012.48"
Vietnam,1973,300500,2321766.6,80782,3124046,1120941,17200.4,318.414,1921732.2,773900,4142450.94,306982,977226,23000,1185104.32,319220,452882,52741.858,29.6,424349,17.224,15782.124,11380.548,1788.05,24.57,5680000,43.73239437,3350,44409861,"17,572,352.23"
Vietnam,1974,315000,2543363.76,141200,5041928,1021829,1200,170,5810522.9,1631986,98.2,265620,1140137.76,28753.38,1329724.32,155639.8,1163285.4,148906.2,0,533398,1151911.6,49475.6,5925.954,1808.18,23.99,5700000,49.78947368,3605,45413537,"22,480,075.87"
Vietnam,1975,280600,2574376.36,141200,8429448,1023136,1200,200,5810522.9,1297827,98.2,265620,854845,23075.614,1329724.32,155639.8,1163285.4,148906.2,0,558005,998696,49475.6,5925.954,1871.84,24.26,5700000,57.89473684,3896,46482903,"25,111,807.35"
Vietnam,1976,386800,1562528.2,126200,3897182.4,1149869,8754,209.734,4626526.9,1386070,3056205.1,287265.6,1158180.74,28733,1379461.02,278642.576,1009733.4,135389,2,618079,817804.718,37891.4,6251.87,1669.16,23.99,5900000,45.93220339,4541,47684931,"21,957,779.66"
Vietnam,1977,403700,1767352.2,134200,4355415.6,1170399,5296,239.734,5183439.1,1542090,1443539.7,258065.6,1161131.14,28749.546,1355090.88,214419.8,1093903.2,145436.2,1,667538,967398.318,46573.6,5847.32,1618.55,24.33,5980000,70.16722408,5413,48954872,"21,949,825.94"
Vietnam,1978,433500,1167090,141200,4315291.2,1213718,5636,419.734,5300783.1,1544322,1443641.7,251754.42,1161860.34,29260.4,1404584.06,222519.8,1175123.2,150395,1,738364,975566.318,48110.2,5689.548,1913.66,24.44,5999000,56.89281547,6532,50249552,"21,728,830.02"
Vietnam,1979,371200,724697.4,151200,10302471.2,1208396,1800,376.2,4805266.298,1381129,2587387,252110.42,943119.54,27506.8,1106522.9,170319.8,1137130,125776.18,0,848875,1049810.8,365371.8,1099107.4,1641.64,24.72,5970000,27.33668342,7140,51378211,"28,659,573.74"
Vietnam,1980,428800,724697.4,151200,10302471.2,1192730,1800,376.2,4805266.298,1381129,2587387,252110.42,943119.54,27506.8,1106522.9,170319.8,1137130,125776.18,0,882408,1049810.8,365371.8,1099107.4,1757.42,24.69,5940000,26.12390572,35357,52490101,"28,735,040.74"
Vietnam,1981,429600,21326841.6,141200,16343057.6,1387068,5636,246856.4,3589318.026,811209,4900050,251754.42,631505.54,36422.8,838275.8,222519.8,959035,98039.34,1,982658,584701.4,669177.8,2177112.2,1768.1,24.31,5910000,37.11539763,17617,53738141,"56,632,039.73"
Vietnam,1982,438100,50290290.6,123201,14543782.2,1446073,5636,712541.4,2387866.026,6337919,4909330,192310.962,113025.6,51524,533871.64,1654561.2,662053,61293.34,3720,1095122,181163,656753.4,2305377.2,1790.95,24.26,5880000,46.71428571,23369,55011289,"88,705,514.57"
Vietnam,1983,468000,40326430.6,60604.8,10218389.8,1436823,1800,594958,1134518.626,6301859,4919288,99223.184,57039.48,44117.8,281188.2,4947973.2,407015.4,31853.94,12600,1250108,244405.2,653696.2,2304799.902,1761.88,24.4,5850000,63.94871795,35204,56337921,"75,796,692.33"
Vietnam,1984,532200,69880039,60604.8,3811729.8,1442080,2200,1193876.2,3859.926,12473672,4930265.8,99223.184,57034.68,53757.4,6940,4947973.2,128685.4,217.34,12600,1283196,193105.24,643572.6,2304181.302,1784.7,24.08,5820000,64.41580756,61171,57706067,"104,061,013.87"
Vietnam,1985,587100,96960319,60604.8,3839548.6,1589732,5636,1859582.8,3859.926,18499408,4930265.8,99223.184,57020.8,65455.6,6940,4947973.2,128685.4,217.34,12600,1374038,141536.24,643572.6,2304181.302,1757.4,24.14,5616000,83.54700855,19045,59560622,"138,117,500.59"
Vietnam,1986,569800,85754701,11.6,83458.6,1482939,2200,1730878.8,103341.798,18437750,33865565.8,3179.584,62,56476.8,5700,8895567.4,402016,43669.78,22180,1494433,211959.44,359173.912,1389116.102,1943.79,24.28,5570000,94.08438061,43009,60347048,"154,914,180.62"
Vietnam,1987,561000,85736232.4,11.6,90939,1560925,2200,1730878.8,126385.4,18437750,34864348,3179.584,20.8,75065.4,5400,8895567.4,354764.4,47985.4,22180,1673645,130216.24,39896.696,275549.902,1626.73,24.94,5527000,76.29817261,53385,61584651,"154,634,141.02"
